vocab_size,seq_length,embed_dim,num_layers,ff_dim,best_val_loss,perplexity,time_sec
1000,32,64,1,128,4.4872,88.9,29.9
1000,32,128,2,256,4.3073,74.2,41.5
1000,32,256,3,512,4.1695,64.7,75.2
1000,32,384,4,768,4.1098,60.9,146.7
1000,64,64,1,128,4.4221,83.3,32.8
1000,64,128,2,256,4.2478,70.0,53.3
1000,64,256,3,512,4.0581,57.9,111.2
1000,64,384,4,768,4.0501,57.4,230.8
1000,128,64,1,128,4.4238,83.4,36.7
1000,128,128,2,256,4.2358,69.1,69.1
1000,128,256,3,512,4.0607,58.0,190.3
1000,128,384,4,768,4.0482,57.3,355.7
2000,32,64,1,128,4.9439,140.3,29.0
2000,32,128,2,256,4.7367,114.1,44.8
2000,32,256,3,512,4.6072,100.2,77.9
2000,32,384,4,768,4.6013,99.6,145.8
2000,64,64,1,128,4.8977,134.0,42.5
2000,64,128,2,256,4.6551,105.1,55.3
2000,64,256,3,512,4.5686,96.4,110.4
2000,64,384,4,768,4.5674,96.3,201.0
2000,128,64,1,128,4.8297,125.2,38.6
2000,128,128,2,256,4.6414,103.7,73.8
2000,128,256,3,512,4.5434,94.0,173.8
2000,128,384,4,768,4.5648,96.0,334.7
4000,32,64,1,128,5.4125,224.2,40.8
4000,32,128,2,256,5.1797,177.6,49.5
4000,32,256,3,512,5.0637,158.2,99.9
4000,32,384,4,768,5.1444,171.5,148.4
4000,64,64,1,128,5.3625,213.3,36.8
4000,64,128,2,256,5.1092,165.5,58.2
4000,64,256,3,512,5.0343,153.6,125.5
4000,64,384,4,768,5.0348,153.7,204.8
4000,128,64,1,128,5.3096,202.3,45.1
4000,128,128,2,256,5.086,161.7,81.0
4000,128,256,3,512,5.021,151.6,179.5
4000,128,384,4,768,5.0274,152.5,319.5
